INTEGER,CHAR(1),TIMESTAMP WITH TIME ZONE,SMALLINT,VARCHAR(50),VARCHAR(50),VARCHAR(2),VARCHAR(100),VARCHAR(200),VARCHAR(100),VARCHAR(100),SMALLINT
GENERATED ALWAYS AS IDENTITY ,,,,,,NOT NULL,,,,,NOT NULL
K_Fornitore,Operazione_Fornitore,DataVariazione_Fornitore,S_ID_Fornitore,S_DenominazioneFornitore,S_CodiceFiscaleFornitore,S_PaeseFornitore,S_CertificazioniFornitore,S_AuditFornitore,S_IndirizzoFornitore,S_RecapitiFornitore,S_ResponsabileFornitore
