INTEGER,CHAR(1),TIMESTAMP WITH TIME ZONE,SMALLINT,SMALLINT,VARCHAR(200),SMALLINT,SMALLINT,SMALLINT,SMALLINT,VARCHAR(20),VARCHAR(20)
GENERATED ALWAYS AS IDENTITY ,,,,,,,,,,,
K_DASE,Operazione_DASE,DataVariazione_DASE,S_ID_Asset_DASE,S_ID_ServizioErogato_DASE,S_Descrizione_DASE,S_CriticitaCiaConfidenzialita_DASE,S_CriticitaCiaIntegrita_DASE,S_CriticitaCiaDisponibilita_DASE,S_CriticitaCiaComplessiva_DASE,S_RTO_DASE,S_RPO_DASE
