SMALLINT,VARCHAR(50),VARCHAR(200)
,,
ID_TipologiaAsset,NomeTipologiaAsset, DescrizioneTipologiaAsset
1,Hardware,apparati fisici ID.AM-01 punto 1
2,Software,"servizi, sistemi e applicazioni software – ID.AM-02 punto 1"
3,Rete,flussi di rete – ID.AM-03 punto 1
4,Servizi,"servizi informatici erogati da fornitori, incluso il cloud – ID.AM-04 punto 1"
5,Infrastrutture,infrastrutture fisiche di supporto agli asset
6,Controllo,sistemi di controllo industriale
7,Intangibili,"patrimonio informativo, progetti e brevetti"
