INTEGER,CHAR(1),TIMESTAMP WITH TIME ZONE,SMALLINT,VARCHAR(50),VARCHAR(200),SMALLINT,VARCHAR(10),SMALLINT,SMALLINT
GENERATED ALWAYS AS IDENTITY ,,,,,,,NOT NULL,NOT NULL,NOT NULL
K_ServizioFruito,Operazione_SF,DataVariazione_SF,S_ID_ServizioFruito,S_Nome_SF,S_Descrizione_SF,S_CodiceFornitore_SF,S_CodiceCPV_SF,S_CriterioRilevanza_SF,S_Ubicazione_SF
