SMALLINT,VARCHAR(50),SMALLINT,VARCHAR(200),VARCHAR(200),SMALLINT,VARCHAR(100),VARCHAR(100),SMALLINT,SMALLINT,SMALLINT,VARCHAR(200),SMALLINT,SMALLINT
,,NOT NULL,,,NOT NULL,,,,,,,,NOT NULL
ID_Asset,NomeAsset,TipoAsset,DescrizioneFunzioneAsset,DatiTecniciAsset,ErogazioneAsset,CollocazioneAsset,IP_FQDN_Asset,Classe_Rete_Asset,FornitoreAsset,TipoAccessoAsset,InformazioniAccessoAsset,ResponsabileAccessoAsset,ResponsabileAsset
