SMALLINT,VARCHAR(50),VARCHAR(200),VARCHAR(100),VARCHAR(50),SMALLINT
,,,,,
ID_ResponsabilitaOrganizzativa,Nominativo_RO,RuoloFunzione_RO,ContattiPrimari_RO,ContattiReperibilita_RO,ID_Sostituto_RO
